primary_material,recycled_percentage,dye_type,chemical_finish,manufacturing_country,shipping_distance_km,has_oeko_tex,is_fair_trade,is_b_corp,est_carbon_emission_kg,eco_score
Polyester,13,Synthetic,False,Bangladesh,10234,False,False,False,16.9,26.8
Nylon,4,Synthetic,True,Vietnam,8890,False,False,False,19.5,17.9
Hemp,3,Azo-free,False,USA,1423,True,False,False,3.2,84.1
Recycled Polyester,95,Natural,False,Sweden,543,True,True,True,4.8,92.8
Cotton,6,Synthetic,False,China,11567,False,False,False,15.1,38.2
Organic Cotton,1,Azo-free,False,Portugal,789,True,True,False,3.3,86.9
Polyester,9,Synthetic,True,Bangladesh,8765,False,False,False,17.5,24.9
Nylon,7,Synthetic,False,Vietnam,9234,False,False,False,18.7,20.3
Hemp,2,Natural,False,USA,1098,True,True,True,2.6,94.0
Recycled Polyester,87,Azo-free,False,Sweden,654,True,False,True,6.1,79.4
Cotton,12,Unknown,False,China,10432,False,False,False,14.5,41.9
Organic Cotton,4,Natural,False,Portugal,932,True,True,False,3.2,87.6
Polyester,11,Synthetic,False,Bangladesh,9678,False,False,False,16.4,27.4
Nylon,2,Synthetic,True,Vietnam,9012,False,False,False,19.0,18.2
Hemp,1,Azo-free,False,USA,1678,True,False,True,3.0,86.0
Recycled Polyester,93,Natural,False,Sweden,432,True,True,True,5.0,91.5
Cotton,8,Synthetic,False,China,10987,False,False,False,14.9,40.1
Organic Cotton,3,Azo-free,False,Portugal,876,True,True,False,3.1,88.4
Polyester,10,Synthetic,True,Bangladesh,9432,False,False,False,17.3,25.1
Nylon,8,Synthetic,False,Vietnam,9765,False,False,False,18.5,20.8
Hemp,0,Natural,False,USA,543,True,True,True,2.5,94.8
Recycled Polyester,90,Azo-free,False,Sweden,765,True,False,True,5.7,81.1
Cotton,5,Unknown,False,China,11209,False,False,False,15.3,37.5
Organic Cotton,2,Natural,False,Portugal,654,True,True,True,3.0,89.9
Polyester,14,Synthetic,False,Bangladesh,10123,False,False,False,16.7,27.1
Nylon,3,Synthetic,True,Vietnam,8876,False,False,False,19.3,17.5
Hemp,2,Azo-free,False,USA,1345,True,False,False,3.1,85.6
Recycled Polyester,86,Natural,False,Sweden,543,True,True,True,5.2,90.8
Cotton,9,Synthetic,False,China,10654,False,False,False,14.4,42.2
Organic Cotton,5,Azo-free,False,Portugal,923,True,True,False,2.9,88.9
Polyester,7,Synthetic,True,Bangladesh,9590,False,False,False,17.6,24.3
Nylon,5,Synthetic,False,Vietnam,9456,False,False,False,18.9,19.5
Hemp,1,Natural,False,USA,1876,True,True,True,2.8,92.1
Recycled Polyester,94,Natural,False,Sweden,654,True,False,True,4.9,92.0
Cotton,13,Unknown,False,China,11432,False,False,False,15.6,36.8
Organic Cotton,3,Natural,False,Portugal,765,True,True,False,3.3,87.1
Polyester,12,Synthetic,False,Bangladesh,9887,False,False,False,16.2,28.0
Nylon,4,Synthetic,True,Vietnam,9123,False,False,False,19.1,18.0
Hemp,0,Azo-free,False,USA,1567,True,False,True,2.6,87.3
Recycled Polyester,89,Natural,False,Sweden,432,True,True,True,5.4,91.9
Cotton,7,Synthetic,False,China,10789,False,False,False,14.6,41.0
Organic Cotton,4,Azo-free,False,Portugal,876,True,True,False,3.1,88.0
Polyester,9,Synthetic,True,Bangladesh,9765,False,False,False,17.4,25.4
Nylon,6,Synthetic,False,Vietnam,9345,False,False,False,18.6,20.1
Hemp,2,Natural,False,USA,1098,True,True,True,2.7,93.4
Recycled Polyester,91,Azo-free,False,Sweden,654,True,False,True,5.8,80.9
Cotton,10,Unknown,False,China,11023,False,False,False,15.0,39.5
Organic Cotton,1,Natural,False,Portugal,543,True,True,True,2.8,91.2
Polyester,13,Synthetic,False,Bangladesh,10098,False,False,False,16.8,26.5
Nylon,2,Synthetic,True,Vietnam,8987,False,False,False,19.4,17.2
Hemp,3,Azo-free,False,USA,1234,True,False,False,3.2,84.8
Recycled Polyester,96,Natural,False,Sweden,765,True,True,True,4.7,93.0
Cotton,8,Synthetic,False,China,11345,False,False,False,15.2,37.9
Organic Cotton,5,Azo-free,False,Portugal,987,True,True,False,3.0,89.3
Polyester,11,Synthetic,True,Bangladesh,9345,False,False,False,17.1,26.1
Nylon,7,Synthetic,False,Vietnam,9654,False,False,False,18.8,19.9
Hemp,0,Natural,False,USA,1789,True,True,True,2.6,93.7
Recycled Polyester,87,Azo-free,False,Sweden,543,True,False,True,6.0,79.8
Cotton,12,Unknown,False,China,10876,False,False,False,14.7,40.7
Organic Cotton,2,Natural,False,Portugal,765,True,True,False,3.2,87.9
Polyester,8,Synthetic,False,Bangladesh,10134,False,False,False,16.3,27.7
Nylon,3,Synthetic,True,Vietnam,9213,False,False,False,19.2,17.8
Hemp,1,Azo-free,False,USA,1456,True,False,True,2.9,86.5
Recycled Polyester,93,Natural,False,Sweden,654,True,True,True,5.1,91.6
Cotton,6,Synthetic,False,China,11109,False,False,False,14.9,40.4
Organic Cotton,4,Natural,False,Portugal,876,True,True,True,2.9,90.1
Polyester,10,Synthetic,True,Bangladesh,9567,False,False,False,17.5,24.6
Nylon,5,Synthetic,False,Vietnam,9789,False,False,False,18.4,21.2
Hemp,2,Natural,False,USA,1654,True,True,False,3.0,85.0
Recycled Polyester,90,Azo-free,False,Sweden,432,True,False,True,5.6,81.4
Cotton,9,Unknown,False,China,10567,False,False,False,14.3,42.5
Organic Cotton,3,Azo-free,False,Portugal,654,True,True,False,3.1,88.5
Polyester,14,Synthetic,False,Bangladesh,9876,False,False,False,16.6,27.2
Nylon,1,Synthetic,True,Vietnam,9090,False,False,False,19.6,16.9
Hemp,0,Natural,False,USA,1123,True,False,True,2.5,94.2
Recycled Polyester,88,Natural,False,Sweden,765,True,True,True,5.3,90.4
Cotton,11,Synthetic,False,China,11234,False,False,False,15.1,38.8
Organic Cotton,5,Natural,False,Portugal,932,True,True,False,3.3,87.3
Polyester,7,Synthetic,True,Bangladesh,10234,False,False,False,17.7,23.9
Nylon,4,Synthetic,False,Vietnam,8876,False,False,False,19.0,18.4
Hemp,1,Azo-free,False,USA,1987,True,True,True,2.8,91.8
Recycled Polyester,95,Natural,False,Sweden,543,True,False,True,4.9,92.5
Cotton,10,Unknown,False,China,10987,False,False,False,14.8,39.9
Organic Cotton,2,Natural,False,Portugal,789,True,True,True,3.0,89.7
Polyester,12,Synthetic,False,Bangladesh,9654,False,False,False,16.5,27.9
Nylon,6,Synthetic,True,Vietnam,9456,False,False,False,18.7,19.2
Hemp,3,Natural,False,USA,1342,True,False,False,3.2,84.5
Recycled Polyester,86,Azo-free,False,Sweden,654,True,True,True,6.1,79.2
Cotton,5,Synthetic,False,China,11456,False,False,False,15.4,36.5
Organic Cotton,4,Azo-free,False,Portugal,876,True,True,False,3.1,88.2
Polyester,9,Synthetic,True,Bangladesh,9932,False,False,False,17.3,25.3
Nylon,2,Synthetic,False,Vietnam,9213,False,False,False,19.3,17.4
Hemp,0,Natural,False,USA,1543,True,True,True,2.6,93.6
Recycled Polyester,92,Natural,False,Sweden,432,True,False,True,5.2,91.3
Cotton,8,Unknown,False,China,10765,False,False,False,14.5,41.6
Organic Cotton,1,Natural,False,Portugal,654,True,True,False,3.2,87.8
Polyester,13,Synthetic,False,Bangladesh,9789,False,False,False,16.7,26.6
Nylon,7,Synthetic,True,Vietnam,9678,False,False,False,18.9,18.9
Hemp,2,Azo-free,False,USA,1230,True,False,True,2.9,86.2
Recycled Polyester,89,Natural,False,Sweden,765,True,True,True,5.5,90.6
Cotton,12,Synthetic,False,China,11098,False,False,False,15.0,39.2
Organic Cotton,3,Azo-free,False,Portugal,987,True,True,False,3.0,89.0
Polyester,10,Synthetic,True,Bangladesh,10023,False,False,False,17.2,25.9
Nylon,3,Synthetic,False,Vietnam,9345,False,False,False,18.6,20.5
Hemp,1,Natural,False,USA,1765,True,True,True,2.7,92.4
Recycled Polyester,94,Azo-free,False,Sweden,543,True,False,True,5.0,92.1
Cotton,7,Synthetic,False,China,11209,False,False,False,15.2,37.8
Organic Cotton,5,Natural,False,Portugal,765,True,True,True,2.8,90.8
Polyester,8,Synthetic,False,Bangladesh,9765,False,False,False,16.4,27.6
Nylon,4,Synthetic,True,Vietnam,9012,False,False,False,19.1,18.1
Hemp,0,Azo-free,False,USA,1432,True,False,False,3.1,85.9
Recycled Polyester,87,Natural,False,Sweden,654,True,True,True,6.0,80.1
Cotton,9,Unknown,False,China,10678,False,False,False,14.4,42.0
Organic Cotton,2,Natural,False,Portugal,832,True,True,False,3.3,87.2
Polyester,11,Synthetic,True,Bangladesh,9890,False,False,False,17.5,24.8
Nylon,5,Synthetic,False,Vietnam,9543,False,False,False,18.3,21.5
Hemp,2,Natural,False,USA,1120,True,True,True,2.6,93.9
Recycled Polyester,91,Azo-free,False,Sweden,432,True,False,True,5.7,81.7
Cotton,10,Synthetic,False,China,11543,False,False,False,15.6,36.2
Organic Cotton,4,Natural,False,Portugal,654,True,True,False,3.1,88.7
Polyester,14,Synthetic,False,Bangladesh,10098,False,False,False,16.8,26.9
Nylon,1,Synthetic,True,Vietnam,8876,False,False,False,19.5,16.7
Hemp,3,Azo-free,False,USA,1678,True,False,True,3.0,85.4
Recycled Polyester,96,Natural,False,Sweden,765,True,True,True,4.8,92.9
Cotton,6,Synthetic,False,China,10876,False,False,False,14.7,40.6
Organic Cotton,3,Azo-free,False,Portugal,923,True,True,False,3.2,88.3
Polyester,9,Synthetic,True,Bangladesh,9678,False,False,False,17.6,24.4
Nylon,6,Synthetic,False,Vietnam,9765,False,False,False,18.8,19.7
Hemp,0,Natural,False,USA,1890,True,True,True,2.5,94.5
Recycled Polyester,90,Natural,False,Sweden,543,True,False,True,5.5,82.0
Cotton,11,Unknown,False,China,11321,False,False,False,15.3,37.3
Organic Cotton,1,Natural,False,Portugal,765,True,True,True,2.9,90.5
Polyester,12,Synthetic,False,Bangladesh,10234,False,False,False,16.6,27.3
Nylon,2,Synthetic,True,Vietnam,9123,False,False,False,19.4,17.1
Hemp,1,Azo-free,False,USA,1321,True,False,False,3.1,85.7
Recycled Polyester,88,Natural,False,Sweden,654,True,True,True,5.9,80.6
Cotton,8,Synthetic,False,China,10987,False,False,False,14.9,40.2
Organic Cotton,5,Azo-free,False,Portugal,876,True,True,False,3.0,89.5
Polyester,10,Synthetic,True,Bangladesh,9945,False,False,False,17.4,25.2
Nylon,7,Synthetic,False,Vietnam,9456,False,False,False,18.5,20.9
Hemp,2,Natural,False,USA,1543,True,True,True,2.7,92.7
Recycled Polyester,93,Natural,False,Sweden,432,True,False,True,5.1,91.4
Cotton,13,Unknown,False,China,11176,False,False,False,15.1,38.5
Organic Cotton,2,Natural,False,Portugal,654,True,True,False,3.2,87.7
Polyester,8,Synthetic,False,Bangladesh,9876,False,False,False,16.3,27.8
Nylon,4,Synthetic,True,Vietnam,9345,False,False,False,19.2,17.9
Hemp,0,Azo-free,False,USA,1098,True,False,True,2.8,86.8
Recycled Polyester,95,Natural,False,Sweden,765,True,True,True,4.9,92.6
Cotton,9,Synthetic,False,China,10789,False,False,False,14.5,41.4
Organic Cotton,4,Natural,False,Portugal,789,True,True,True,3.1,89.2
Polyester,13,Synthetic,True,Bangladesh,10123,False,False,False,16.9,26.2
Nylon,3,Synthetic,False,Vietnam,9213,False,False,False,18.7,20.2
Hemp,1,Natural,False,USA,1765,True,True,False,3.0,85.2
Recycled Polyester,86,Azo-free,False,Sweden,543,True,False,True,6.2,78.9
Cotton,12,Synthetic,False,China,11456,False,False,False,15.5,36.9
Organic Cotton,5,Azo-free,False,Portugal,932,True,True,False,2.9,89.8
Polyester,11,Synthetic,False,Bangladesh,9654,False,False,False,16.5,27.5
Nylon,5,Synthetic,True,Vietnam,8987,False,False,False,19.3,17.6
Hemp,2,Natural,False,USA,1234,True,True,True,2.6,93.8
Recycled Polyester,89,Natural,False,Sweden,654,True,False,True,5.8,80.4
Cotton,7,Unknown,False,China,11034,False,False,False,14.8,39.6
Organic Cotton,3,Natural,False,Portugal,876,True,True,False,3.3,87.5
Polyester,9,Synthetic,True,Bangladesh,9789,False,False,False,17.7,23.8
Nylon,6,Synthetic,False,Vietnam,9678,False,False,False,18.9,19.1
Hemp,0,Azo-free,False,USA,1456,True,False,True,2.7,87.6
Recycled Polyester,92,Natural,False,Sweden,432,True,True,True,5.3,91.1
Cotton,10,Synthetic,False,China,11298,False,False,False,15.2,37.6
Organic Cotton,1,Natural,False,Portugal,654,True,True,True,3.0,90.7
Polyester,14,Synthetic,False,Bangladesh,10023,False,False,False,16.7,27.0
Nylon,2,Synthetic,True,Vietnam,9090,False,False,False,19.6,16.8
Hemp,3,Natural,False,USA,1876,True,False,False,3.2,84.3
Recycled Polyester,94,Azo-free,False,Sweden,765,True,True,True,5.0,92.3
Cotton,6,Synthetic,False,China,10654,False,False,False,14.3,42.3
Organic Cotton,4,Azo-free,False,Portugal,923,True,True,False,3.1,88.8
Polyester,10,Synthetic,True,Bangladesh,9876,False,False,False,17.5,24.7
Nylon,4,Synthetic,False,Vietnam,9456,False,False,False,18.4,21.3
Hemp,1,Natural,False,USA,1654,True,True,True,2.8,91.9
Recycled Polyester,87,Natural,False,Sweden,543,True,False,True,6.0,79.9
Cotton,11,Unknown,False,China,10987,False,False,False,14.9,40.0
Organic Cotton,2,Natural,False,Portugal,765,True,True,False,3.2,87.0
Polyester,12,Synthetic,False,Bangladesh,9932,False,False,False,16.4,28.1
Nylon,7,Synthetic,True,Vietnam,9213,False,False,False,18.6,20.4
Hemp,0,Azo-free,False,USA,1123,True,False,True,2.5,94.3
Recycled Polyester,90,Natural,False,Sweden,654,True,True,True,5.6,81.6
Cotton,8,Synthetic,False,China,11567,False,False,False,15.6,36.1
Organic Cotton,5,Natural,False,Portugal,832,True,True,False,2.8,90.0
Polyester,13,Synthetic,True,Bangladesh,10234,False,False,False,17.1,26.0
Nylon,3,Synthetic,False,Vietnam,8876,False,False,False,19.0,18.3
Hemp,2,Natural,False,USA,1342,True,True,True,2.7,93.2
Recycled Polyester,91,Azo-free,False,Sweden,432,True,False,True,5.4,91.0
Cotton,9,Unknown,False,China,10876,False,False,False,14.6,41.1
Organic Cotton,3,Natural,False,Portugal,987,True,True,True,3.1,89.4
Polyester,8,Synthetic,False,Bangladesh,9765,False,False,False,16.2,28.2
Nylon,5,Synthetic,True,Vietnam,9543,False,False,False,19.2,17.7
Hemp,1,Azo-free,False,USA,1765,True,False,False,3.0,85.1
Recycled Polyester,96,Natural,False,Sweden,765,True,True,True,4.8,93.1
Cotton,10,Synthetic,False,China,11345,False,False,False,15.3,37.4
Organic Cotton,4,Azo-free,False,Portugal,654,True,True,False,3.3,87.6
Polyester,11,Synthetic,True,Bangladesh,10123,False,False,False,17.3,25.5
Nylon,2,Synthetic,False,Vietnam,9123,False,False,False,19.4,17.3
Hemp,0,Natural,False,USA,1230,True,True,True,2.6,93.5
Recycled Polyester,89,Natural,False,Sweden,543,True,False,True,5.7,80.8
Cotton,12,Unknown,False,China,11098,False,False,False,15.0,39.3
Organic Cotton,1,Natural,False,Portugal,876,True,True,False,3.2,87.9
Polyester,9,Synthetic,False,Bangladesh,9890,False,False,False,16.6,27.4
Nylon,6,Synthetic,True,Vietnam,9345,False,False,False,18.8,19.8
Hemp,2,Natural,False,USA,1543,True,False,True,2.9,86.3
Recycled Polyester,93,Natural,False,Sweden,654,True,True,True,5.2,91.7
Cotton,7,Synthetic,False,China,11209,False,False,False,15.2,37.9
Organic Cotton,5,Azo-free,False,Portugal,765,True,True,True,2.9,90.6
Polyester,14,Synthetic,True,Bangladesh,9678,False,False,False,17.6,24.2
Nylon,4,Synthetic,False,Vietnam,9765,False,False,False,18.5,21.0
Hemp,1,Natural,False,USA,1432,True,True,False,3.1,85.8
Recycled Polyester,88,Natural,False,Sweden,432,True,False,True,5.9,80.3
Cotton,11,Unknown,False,China,10678,False,False,False,14.4,42.1
Organic Cotton,2,Natural,False,Portugal,789,True,True,False,3.0,88.6
Polyester,10,Synthetic,False,Bangladesh,10098,False,False,False,16.8,26.8
Nylon,7,Synthetic,True,Vietnam,8987,False,False,False,19.1,18.2
Hemp,0,Azo-free,False,USA,1678,True,False,True,2.5,94.1
Recycled Polyester,95,Natural,False,Sweden,765,True,True,True,4.9,92.7
Cotton,8,Synthetic,False,China,11432,False,False,False,15.5,37.0
Organic Cotton,4,Natural,False,Portugal,932,True,True,False,3.1,88.9
Polyester,12,Synthetic,True,Bangladesh,10234,False,False,False,17.2,25.8
Nylon,3,Synthetic,False,Vietnam,9213,False,False,False,18.7,20.1
Hemp,2,Natural,False,USA,1098,True,True,True,2.8,92.6
Recycled Polyester,86,Azo-free,False,Sweden,543,True,False,True,6.1,79.1
Cotton,9,Unknown,False,China,10789,False,False,False,14.5,41.5
Organic Cotton,3,Natural,False,Portugal,654,True,True,True,3.2,88.1
Polyester,13,Synthetic,False,Bangladesh,9876,False,False,False,16.5,27.6
Nylon,5,Synthetic,True,Vietnam,9456,False,False,False,19.3,17.8
Hemp,1,Azo-free,False,USA,1987,True,False,False,3.0,85.3
Recycled Polyester,92,Natural,False,Sweden,654,True,True,True,5.3,91.2
Cotton,10,Synthetic,False,China,11176,False,False,False,15.1,38.6
Organic Cotton,1,Natural,False,Portugal,876,True,True,False,3.3,87.4
Polyester,9,Synthetic,True,Bangladesh,9789,False,False,False,17.4,24.9
Nylon,2,Synthetic,False,Vietnam,9678,False,False,False,19.0,18.7
Hemp,0,Natural,False,USA,1321,True,True,True,2.6,93.3
Recycled Polyester,90,Natural,False,Sweden,432,True,False,True,5.6,81.5
Cotton,6,Synthetic,False,China,10987,False,False,False,14.8,40.3
Organic Cotton,5,Azo-free,False,Portugal,923,True,True,False,2.9,89.9
Polyester,11,Synthetic,False,Bangladesh,10023,False,False,False,16.7,26.7
Nylon,6,Synthetic,True,Vietnam,8876,False,False,False,18.9,19.6
Hemp,2,Natural,False,USA,1456,True,False,True,2.9,86.4
Recycled Polyester,87,Natural,False,Sweden,765,True,True,True,6.0,80.0
Cotton,13,Unknown,False,China,11543,False,False,False,15.7,36.3
Organic Cotton,2,Natural,False,Portugal,765,True,True,True,3.0,90.4
Polyester,8,Synthetic,True,Bangladesh,9654,False,False,False,16.3,28.0
Nylon,4,Synthetic,False,Vietnam,9345,False,False,False,18.4,21.4
Hemp,1,Natural,False,USA,1120,True,True,False,3.1,85.6
Recycled Polyester,94,Natural,False,Sweden,543,True,False,True,5.1,92.2
Cotton,7,Synthetic,False,China,10876,False,False,False,14.6,41.2
Organic Cotton,4,Azo-free,False,Portugal,654,True,True,False,3.2,88.4
Polyester,10,Synthetic,False,Bangladesh,9765,False,False,False,16.4,27.7
Nylon,7,Synthetic,True,Vietnam,9543,False,False,False,18.6,20.6
Hemp,0,Natural,False,USA,1890,True,True,True,2.5,94.6
Recycled Polyester,89,Natural,False,Sweden,654,True,False,True,5.8,80.7
